id,exp_imp,Year,month,Country,Unit1,Unit2,Q1,Q2,Value,hs2,hs4,hs6,hs9,Custom
0,1,2018,01,103,  ,KG,0,835097,933924,00,0000,000000,000000190,100
1,1,2018,01,105,  ,KG,0,1258932,2815164,00,0000,000000,000000190,100
2,1,2018,01,106,  ,KG,0,292274,1582337,00,0000,000000,000000190,100
3,1,2018,01,107,  ,KG,0,0,0,00,0000,000000,000000190,100
4,1,2018,01,108,  ,KG,0,373599,3062987,00,0000,000000,000000190,100
5,1,2018,01,110,  ,KG,0,179396,325013,00,0000,000000,000000190,100
6,1,2018,01,111,  ,KG,0,509417,1009963,00,0000,000000,000000190,100
7,1,2018,01,112,  ,KG,0,181499,1696767,00,0000,000000,000000190,100
8,1,2018,01,113,  ,KG,0,430642,540551,00,0000,000000,000000190,100
9,1,2018,01,116,  ,KG,0,774,4621,00,0000,000000,000000190,100
10,1,2018,01,117,  ,KG,0,563376,1233222,00,0000,000000,000000190,100
11,1,2018,01,118,  ,KG,0,231541,401329,00,0000,000000,000000190,100
12,1,2018,01,120,  ,KG,0,23052,11930,00,0000,000000,000000190,100
13,1,2018,01,121,  ,KG,0,156,260,00,0000,000000,000000190,100
14,1,2018,01,122,  ,KG,0,9392,6895,00,0000,000000,000000190,100
15,1,2018,01,123,  ,KG,0,68362,260844,00,0000,000000,000000190,100
16,1,2018,01,124,  ,KG,0,8592,2956,00,0000,000000,000000190,100
17,1,2018,01,125,  ,KG,0,154,1792,00,0000,000000,000000190,100
18,1,2018,01,126,  ,KG,0,0,222,00,0000,000000,000000190,100
19,1,2018,01,127,  ,KG,0,808,10076,00,0000,000000,000000190,100
20,1,2018,01,128,  ,KG,0,0,0,00,0000,000000,000000190,100
21,1,2018,01,129,  ,KG,0,11363,24662,00,0000,000000,000000190,100
22,1,2018,01,131,  ,KG,0,0,0,00,0000,000000,000000190,100
23,1,2018,01,132,  ,KG,0,0,0,00,0000,000000,000000190,100
24,1,2018,01,133,  ,KG,0,28,252,00,0000,000000,000000190,100
25,1,2018,01,134,  ,KG,0,1,715,00,0000,000000,000000190,100
26,1,2018,01,135,  ,KG,0,41,2204,00,0000,000000,000000190,100
27,1,2018,01,137,  ,KG,0,1064,13683,00,0000,000000,000000190,100
